"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"95","ASO (Quantitative)","IU/mL","0","200","0–200","0","200","0–200","0","150","0–150","0–200 IU/mL","2026-07-09 13:18:22.336","2026-07-09 13:18:22.336",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"96","Anti-Streptolysin O (ASO)","IU/mL","0","200","0 - 200","0","200","0 - 200","0","150","0 - 150",,"2026-07-09 13:18:22.523","2026-07-09 13:18:22.523",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"97","Atypical Lymphocytes","%","0","0.5","<0.5","0","0.5","<0.5","0","0.5","<0.5","Negative / <0.5%","2026-07-09 13:18:22.713","2026-07-09 13:18:22.713",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"98","Hepatitis B Surface Antigen (HBsAg)",NULL,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:22.896","2026-07-09 13:41:56.657",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"99","Band Neutrophils","ratio","0","0.08","0–8%","0","0.08","0–8%","0","0.08","0–8%","0–8%","2026-07-09 13:18:23.084","2026-07-09 13:18:23.084",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"100","Absolute Band Count","cells/µL","0","700","0–700","0","700","0–700","0","700","0–700",,"2026-07-09 13:18:23.263","2026-07-09 13:18:23.263",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"101","BCR-ABL1 Quantitative (RT-PCR)","IS %",NULL,NULL,"Not detected",NULL,NULL,"Not detected",NULL,NULL,"Not detected","Not detected","2026-07-09 13:18:23.449","2026-07-09 13:18:23.449",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"102","ABL1 Control Gene","Copies",NULL,NULL,"Adequate",NULL,NULL,"Adequate",NULL,NULL,"Adequate","Adequate","2026-07-09 13:18:23.629","2026-07-09 13:18:23.629",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"103","Beta-hCG","mIU/mL","0","5","< 5","0","5","< 5 (Non-pregnant)","0","5","< 5","< 5 mIU/mL","2026-07-09 13:18:23.843","2026-07-09 13:18:23.843",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"104","Beta-hCG (Total)","mIU/mL","0","5","< 5.0","0","5","< 5.0 (Non-pregnant)","0","5","< 5.0","< 5.0 mIU/mL (Non-pregnant)","2026-07-09 13:18:24.028","2026-07-09 13:18:24.028",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"105","Beta-hCG, Total","mIU/mL","0","5","< 5.0","0","5","< 5.0 (Non-pregnant)","0","5","< 5.0","< 5.0 mIU/mL","2026-07-09 13:18:24.207","2026-07-09 13:18:24.207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"106","Beta Thalassemia Screening",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:24.393","2026-07-09 13:18:24.393",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"107","Hemoglobin A2","%","1.5","3.5","1.5 - 3.5","1.5","3.5","1.5 - 3.5","1.5","3.5","1.5 - 3.5",,"2026-07-09 13:18:24.575","2026-07-09 13:18:24.575",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"108","Hemoglobin F","%","0","1","< 1.0","0","1","< 1.0","0","1","< 1.0",,"2026-07-09 13:18:24.756","2026-07-09 13:18:24.756",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"109","Beta-2 Glycoprotein 1 IgG Antibody","U/mL",NULL,NULL,"Negative: < 20.0 U/mL; Weak Positive: 20.0 - 39.9 U/mL; Moderate/Strong Positive: ≥ 40.0 U/mL",NULL,NULL,"Negative: < 20.0 U/mL; Weak Positive: 20.0 - 39.9 U/mL; Moderate/Strong Positive: ≥ 40.0 U/mL",NULL,NULL,"Negative: < 20.0 U/mL","Negative: < 20.0 U/mL","2026-07-09 13:18:24.942","2026-07-09 13:18:24.942",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"110","Beta-2 Glycoprotein 1 IgM","U/mL",NULL,NULL,"< 20 U/mL",NULL,NULL,"< 20 U/mL",NULL,NULL,"< 20 U/mL","Negative: < 20 U/mL; Low Positive: 20-40 U/mL; Moderate/High Positive: > 40 U/mL","2026-07-09 13:18:25.139","2026-07-09 13:18:25.139",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"111","Beta-2 Glycoprotein IgM","U/mL",NULL,NULL,"< 20",NULL,NULL,"< 20",NULL,NULL,"< 20","< 20 U/mL","2026-07-09 13:18:25.328","2026-07-09 13:18:25.328",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"112","Bicarbonate (Total CO2)","mmol/L","22","29","22–29","22","29","22–29","18","25","18–25",,"2026-07-09 13:18:25.521","2026-07-09 13:18:25.521",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"113","Total Bile Acids, Serum","µmol/L","0","10","0.0–10.0","0","10","0.0–10.0","0","15","0.0–15.0",,"2026-07-09 13:18:25.709","2026-07-09 13:18:25.709",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"114","Bile Pigment",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:25.907","2026-07-09 13:18:25.907",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"115","Serum Bile Acids","µmol/L","0","10","0.0–10.0","0","10","0.0–10.0","0","10","0.0–10.0","0.0–10.0","2026-07-09 13:18:26.098","2026-07-09 13:18:26.098",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"116","Bilirubin, Total","mg/dL","0.1","1.2","0.1–1.2","0.1","1.2","0.1–1.2","0.1","1.2","0.1–1.2",,"2026-07-09 13:18:26.278","2026-07-09 13:18:26.278",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"117","Bilirubin, Direct","mg/dL","0","0.3","0.0–0.3","0","0.3","0.0–0.3","0","0.3","0.0–0.3",,"2026-07-09 13:18:26.469","2026-07-09 13:18:26.469",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"118","Bilirubin, Indirect","mg/dL","0.1","0.9","0.1–0.9","0.1","0.9","0.1–0.9","0.1","0.9","0.1–0.9",,"2026-07-09 13:18:26.653","2026-07-09 13:18:26.653",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"119","Pathological Diagnosis","Text",NULL,NULL,,NULL,NULL,,NULL,NULL,,"See Pathology Report","2026-07-09 13:18:26.852","2026-07-09 13:18:26.852",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"120","Biopsy Specimen",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Satisfactory / Tissue Present","2026-07-09 13:18:27.040","2026-07-09 13:18:27.040",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"121","Pathology Report",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"See Pathologist Report","2026-07-09 13:18:27.229","2026-07-09 13:18:27.229",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"122","Blasts","%","0","0","0%","0","0","0%","0","0","0%","0%","2026-07-09 13:18:27.428","2026-07-09 13:18:27.428",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"123","Blood Culture","NA",NULL,NULL,"No growth",NULL,NULL,"No growth",NULL,NULL,"No growth","No growth","2026-07-09 13:18:27.615","2026-07-09 13:18:27.615",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"124","Organism Identification","NA",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable","Not applicable","2026-07-09 13:18:27.804","2026-07-09 13:18:27.804",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"125","Blood Culture and Sensitivity",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No growth / Negative","2026-07-09 13:18:28.000","2026-07-09 13:18:28.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"126","Blood Glucose Fasting","mg/dL","70","100","70-100","70","100","70-100","60","100","60-100","70-100","2026-07-09 13:18:28.185","2026-07-09 13:18:28.185",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"127","Blood Glucose Post Prandial","mg/dL","80","140","80-140","80","140","80-140","70","130","70-130","80-140","2026-07-09 13:18:28.369","2026-07-09 13:18:28.369",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"128","Blood Group (ABO)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"A, B, AB, or O","2026-07-09 13:18:28.557","2026-07-09 13:18:28.557",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"129","Rh Typing",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Positive or Negative","2026-07-09 13:18:28.746","2026-07-09 13:18:28.746",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"130","Blood pH","pH","7.35","7.45","7.35–7.45","7.35","7.45","7.35–7.45","7.35","7.45","7.35–7.45","7.35–7.45","2026-07-09 13:18:28.934","2026-07-09 13:18:28.934",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"131","Blood Glucose Postprandial","mg/dL","80","140","80-140","80","140","80-140","70","130","70-130","80-140","2026-07-09 13:18:29.123","2026-07-09 13:18:29.123",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"132","Blood Urea","mg/dL","7","20","7–20","7","20","7–20","5","18","5–18",NULL,"2026-07-09 13:18:29.301","2026-07-09 18:05:51.458",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"133","Blood Urea Nitrogen","mg/dL","7","20","7–20","7","20","7–20","5","18","5–18",,"2026-07-09 13:18:29.487","2026-07-09 13:18:29.487",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"134","Clotting Time","minutes","4","10","4.0 - 10.0","4","10","4.0 - 10.0","4","10","4.0 - 10.0",,"2026-07-09 13:18:29.680","2026-07-09 13:18:29.680",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"135","Bleeding Time","minutes","2","7","2.0 - 7.0","2","7","2.0 - 7.0","2","7","2.0 - 7.0",,"2026-07-09 13:18:29.868","2026-07-09 13:18:29.868",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"136","BUN/Creatinine Ratio","ratio","10","20","10-20","10","20","10-20","5","20","5-20","10-20","2026-07-09 13:18:30.056","2026-07-09 18:05:51.506",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"137","CSF Cytological Examination","-NA-",NULL,NULL,"Negative for malignant cells",NULL,NULL,"Negative for malignant cells",NULL,NULL,"Negative for malignant cells","Negative for malignant cells","2026-07-09 13:18:30.233","2026-07-09 13:18:30.233",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"138","C-Peptide (Fasting)","ng/mL","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0",,"2026-07-09 13:18:30.415","2026-07-09 13:18:30.415",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"139","High-Sensitivity C-Reactive Protein (hsCRP)","mg/L","0","3","< 3.0","0","3","< 3.0","0","3","< 3.0","< 3.0","2026-07-09 13:18:30.605","2026-07-09 13:18:30.605",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"140","C-Reactive Protein","mg/L","0","10","0-10","0","10","0-10","0","10","0-10","0-10 mg/L","2026-07-09 13:18:30.791","2026-07-09 13:18:30.791",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"141","CSF Adenosine Deaminase","U/L","0","9","0–9","0","9","0–9","0","9","0–9","0–9","2026-07-09 13:18:30.973","2026-07-09 13:18:30.973",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"142","Complement C3","mg/dL","88","201","88–201","88","201","88–201","80","160","80–160",,"2026-07-09 13:18:31.153","2026-07-09 13:18:31.153",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"143","C4 Complement","mg/dL","16","47","16–47","16","47","16–47","16","47","16–47","16–47 mg/dL","2026-07-09 13:18:31.334","2026-07-09 13:18:31.334",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"144","CA 15-3","U/mL","0","30","0–30","0","30","0–30",NULL,NULL,,"0–30 U/mL","2026-07-09 13:18:31.517","2026-07-09 13:18:31.517",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"145","CA 19-9","U/mL","0","37","0-37","0","37","0-37","0","37","0-37","0-37","2026-07-09 13:18:31.694","2026-07-09 13:18:31.694",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"146","CA-125","U/mL","0","35","0–35","0","35","0–35",NULL,NULL,,"0–35 U/mL","2026-07-09 13:18:31.903","2026-07-09 13:18:31.903",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"147","Cancer Antigen 125 (CA-125)","U/mL","0","35","0–35","0","35","0–35",NULL,NULL,,"0–35","2026-07-09 13:18:32.106","2026-07-09 13:18:32.106",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"148","Ionized Calcium, Serum","mmol/L","1.16","1.32","1.16–1.32","1.16","1.32","1.16–1.32","1.2","1.48","1.20–1.48",,"2026-07-09 13:18:32.282","2026-07-09 13:18:32.282",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"149","Serum Calcium","mg/dL","8.5","10.5","8.5–10.5","8.5","10.5","8.5–10.5","8.8","10.8","8.8–10.8",,"2026-07-09 13:18:32.466","2026-07-09 13:18:32.466",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"150","Ionized Calcium","mg/dL","4.6","5.3","4.6–5.3","4.6","5.3","4.6–5.3","4.8","5.5","4.8–5.5",,"2026-07-09 13:18:32.659","2026-07-09 13:18:32.659",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"151","Calcium, Total","mg/dL","8.5","10.2","8.5–10.2","8.5","10.2","8.5–10.2","8.8","10.8","8.8–10.8","8.5–10.2","2026-07-09 13:18:32.847","2026-07-09 13:18:32.847",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"152","Carcinoembryonic Antigen (CEA)","ng/mL","0","3","0.0 - 3.0","0","3","0.0 - 3.0",NULL,NULL,,"0.0 - 3.0 ng/mL","2026-07-09 13:18:33.039","2026-07-09 13:18:33.039",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"153","CD4 Absolute Count","cells/µL","500","1500","500–1500","500","1500","500–1500","1000","3000","1000–3000",,"2026-07-09 13:18:33.266","2026-07-09 13:18:33.266",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"154","CD4 Percentage","%","30","60","30–60","30","60","30–60","30","60","30–60",,"2026-07-09 13:18:33.456","2026-07-09 13:18:33.456",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"155","CSF Appearance","-NA-",NULL,NULL,"Clear and colorless",NULL,NULL,"Clear and colorless",NULL,NULL,"Clear and colorless","Clear and colorless","2026-07-09 13:18:33.641","2026-07-09 13:18:33.641",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"156","CSF Total Cell Count","cells/µL","0","5","0–5","0","5","0–5","0","20","0–20",,"2026-07-09 13:18:33.821","2026-07-09 13:18:33.821",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"157","CSF Glucose","mg/dL","40","70","40–70","40","70","40–70","40","80","40–80",,"2026-07-09 13:18:34.002","2026-07-09 13:18:34.002",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"158","CSF Protein","mg/dL","15","45","15–45","15","45","15–45","15","100","15–100",,"2026-07-09 13:18:34.189","2026-07-09 13:18:34.189",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"159","Ceruloplasmin","mg/dL","20","60","20.0–60.0","20","60","20.0–60.0","20","60","20.0–60.0","20.0–60.0 mg/dL","2026-07-09 13:18:34.376","2026-07-09 13:18:34.376",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"160","Chemical Examination (Urinalysis)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:34.566","2026-07-09 13:18:34.566",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"161","Specific Gravity",,"1.005","1.03","1.005–1.030","1.005","1.03","1.005–1.030","1.005","1.03","1.005–1.030","1.005–1.030","2026-07-09 13:18:34.742","2026-07-09 13:18:34.742",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"162","Glucose",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:34.920","2026-07-09 13:18:34.920",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"163","Ketones",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:35.106","2026-07-09 13:18:35.106",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"164","Bilirubin",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:35.290","2026-07-09 13:18:35.290",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"165","Blood",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:18:35.483","2026-07-09 13:18:35.483",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"166","Chikungunya Virus IgM Antibody, Rapid",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:18:35.709","2026-07-09 13:18:35.709",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"167","Chikungunya IgG Antibody","Index",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:18:35.907","2026-07-09 13:18:35.907",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"168","Chikungunya IgM Antibody","Index",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:18:36.090","2026-07-09 13:18:36.090",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"169","Chloramphenicol","µg/mL","10","20","10–20","10","20","10–20","10","20","10–20","10–20","2026-07-09 13:18:36.276","2026-07-09 13:18:36.276",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"170","Cholesterol/HDL Ratio","Ratio","0","5","0 - 5","0","4.4","0 - 4.4",NULL,NULL,,"0 - 5","2026-07-09 13:18:36.481","2026-07-09 13:18:36.481",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"171","Total Cholesterol","mg/dL","0","200","< 200","0","200","< 200","0","170","< 170","< 200 mg/dL","2026-07-09 13:18:36.726","2026-07-09 13:18:36.726",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"172","Prothrombin Time (PT)","seconds","11","13.5","11.0–13.5","11","13.5","11.0–13.5","11","13.5","11.0–13.5",,"2026-07-09 13:18:36.930","2026-07-09 13:18:36.930",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"173","International Normalized Ratio (INR)","ratio","0.8","1.2","0.8–1.2","0.8","1.2","0.8–1.2","0.8","1.2","0.8–1.2",,"2026-07-09 13:18:37.118","2026-07-09 13:18:37.118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"174","Fibrinogen","mg/dL","200","400","200–400","200","400","200–400","200","400","200–400",,"2026-07-09 13:18:37.326","2026-07-09 13:18:37.326",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"175","Colony Count","CFU/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"< 10^5 CFU/mL (or as per specimen type)","2026-07-09 13:18:37.522","2026-07-09 13:18:37.522",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"176","Peripheral Blood Smear Interpretation","N/A",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Normal / Negative","2026-07-09 13:18:37.699","2026-07-09 13:18:37.699",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"177","Complete Blood Count (CBC)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-07-09 13:18:37.891","2026-07-09 18:05:51.421",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"178","Total W.B.C. Count","10^3/µL","4","11","4.00-11.00","4","11","4.00-11.00","5","19","5.00-19.00","4.00-11.00","2026-07-09 13:18:38.072","2026-07-09 19:51:03.001",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"179","RBC Count (Red Blood Cells)","10^6/µL","4","6","4.0 - 6.0","3.8","5.4","3.8 - 5.4","3.8","5.2","3.8-5.2","4.0 - 6.0","2026-07-09 13:18:38.253","2026-07-10 18:51:42.997",NULL,"RBC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"180","Platelets Count","/µL","150000","450000","150,000-450,000","150000","450000","150,000-450,000","150000","450000","150,000-450,000","150,000-450,000","2026-07-09 13:18:38.430","2026-07-09 19:51:03.176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"181","Differential Count of WBC","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-07-09 13:18:38.610","2026-07-09 19:51:03.013",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"182","Polymorphs (Neutrophils)","%","40","70","40 - 70","40","70","40 - 70","25","45","25-45","40 - 70","2026-07-09 13:18:38.787","2026-07-09 19:51:03.024",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"183","Lymphocytes","%","20","40","20 - 40","20","40","20 - 40","45","65","45-65","20 - 40","2026-07-09 13:18:38.976","2026-07-09 19:51:03.035",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"184","Eosinophils","%","1","6","1 - 6","1","6","1 - 6","1","6","1-6","1 - 6","2026-07-09 13:18:39.160","2026-07-09 19:51:03.044",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"185","Monocytes","%","2","8","2 - 8","2","8","2 - 8","2","8","2 - 8","2 - 8","2026-07-09 13:18:39.337","2026-07-09 19:51:03.055",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"186","Basophils","%","0","2","0 - 2","0","2","0 - 2","0","2","0 - 2","0 - 2","2026-07-09 13:18:39.524","2026-07-09 19:51:03.065",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"187","Haemoglobin","g/dL","13.5","17.5","13.5 - 17.5","12","15.5","12.0 - 15.5","11","14","11.0 - 14.0","13.5 - 17.5","2026-07-09 13:18:39.702","2026-07-09 19:51:02.976",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"188","PCV (Haematocrit)","%","41","53","41 - 53","36","46","36 - 46","35","45","35 - 45","41 - 53","2026-07-09 13:18:39.891","2026-07-10 18:51:43.451",NULL,"PCV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"189","MCV","fl","80","100","80-100","80","100","80-100","75","95","75-95","80-100","2026-07-09 13:18:40.079","2026-07-10 18:51:43.911",NULL,"MCV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"190","MCH","pg","27","33","27-33","27","33","27-33","24","30","24-30","27-33","2026-07-09 13:18:40.259","2026-07-10 18:51:44.356",NULL,"MCH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"191","MCHC","g/dL","32","36","32-36","32","36","32-36","31","35","31-35","32-36","2026-07-09 13:18:40.444","2026-07-10 18:51:44.806",NULL,"MCHC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"192","Red Cell Distribution Width (RDW)-CV","%","11","15","11.0-15.0","11","15","11.0-15.0","11.5","16.5","11.5-16.5","11.0-15.0","2026-07-09 13:18:40.632","2026-07-09 19:51:03.117",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"193","Red Cell Distribution Width (RDW)-SD","fl","35","56","35 - 56","35","56","35 - 56","35","56","35 - 56","35 - 56","2026-07-09 13:18:40.817","2026-07-09 19:51:03.128",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"194","MPV","fl","7","11","7 - 11","7","11","7 - 11","7","11","7 - 11","7 - 11","2026-07-09 13:18:41.008","2026-07-09 19:51:03.139",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"195","PDW","fl","9","17","9 - 17","9","17","9 - 17","9","17","9 - 17","9 - 17","2026-07-09 13:18:41.201","2026-07-09 19:51:03.150",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"196","PCT","%","0.108","0.282","0.108 - 0.282","0.108","0.282","0.108 - 0.282","0.108","0.282","0.108 - 0.282","0.108 - 0.282","2026-07-09 13:18:41.390","2026-07-09 19:51:03.163",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"197","Liver Function Test (LFT)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-07-09 13:18:41.579","2026-07-09 18:50:56.017",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"198","Total Bilirubin","mg/dL","0.2","1.2","0.2 - 1.2","0.2","1.2","0.2 - 1.2","0.2","1","0.2 - 1.0","0.2 - 1.2","2026-07-09 13:18:41.765","2026-07-09 18:50:56.027",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"199","Direct Bilirubin","mg/dL","0","0.3","0.0 - 0.3","0","0.3","0.0 - 0.3","0","0.3","0.0 - 0.3","0.0 - 0.3","2026-07-09 13:18:41.946","2026-07-09 18:50:56.037",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
